,platform,title,date,place,artist,url
49,Melon Ticket,［서울］조항조＆장윤정 추석맞이 콘서트 ,2017.09.16 - 2017.09.16,장충체육관,"장윤정, 조항조, 장윤정, 장윤정, 장윤정, 장윤정, 장윤정, ",http://ticket.melon.com/performance/index.htm?prodId=200822
50,Melon Ticket,ZIPPER 019．뷰티핸섬 〈I＇ll Be There For You〉,2017.09.16 - 2017.09.16,케이티엔지 상상마당 춘천사운드홀,"뷰티핸섬, 뷰티핸섬, 뷰티핸섬, ",http://ticket.melon.com/performance/index.htm?prodId=200846
51,Melon Ticket,ADOY＋새소년＋신해경＂ASK＂,2017.09.22 - 2017.09.22,홍대 왓에버,"ADOY, 새소년, 신해경, ADOY, 새소년, 신해경, ADOY, 새소년, ",http://ticket.melon.com/performance/index.htm?prodId=200885
52,Melon Ticket,피터 밴스 콘서트,2017.09.21 - 2017.09.21,롯데콘서트홀,None,http://ticket.melon.com/performance/index.htm?prodId=200761
53,Melon Ticket,페이퍼컷 프로젝트 피크닉콘서트 〈우리，정말 여행갈래요？〉 패키지권,2017.09.17 - 2017.09.17,케이티엔지 상상마당 춘천,"페이퍼컷 프로젝트, 페이퍼컷 프로젝트, 페이퍼컷 프로젝트, 페이퍼컷 프로젝트, 페이퍼컷 프로젝트, 페이퍼컷 프로젝트, ",http://ticket.melon.com/performance/index.htm?prodId=200879
54,Melon Ticket,사운드 바운드 In 개항장,2017.10.28 - 2017.10.29,인천 개항장-차이나타운 일대,"조규찬, 몽니, 소란 (SORAN), 조덕배, 말로, 이정선, 라 벤타나, 이지형, 임지훈, 이장혁, 뷰티핸섬, 쏠라티, 위아영 (WeAreYoung), 랄라스윗 (lalasweet), 장희원, 조소정, Land of Peace, 갤럭시 익스프레스, 빛과소음, 이예린, 이정아, 모트 (Motte), 로다운 30, 아마도이자람밴드, A-FUZZ (에이퍼즈), SAZA최우준, 오리엔탈 쇼커스, 김간지x하헌진, Soulloge, 강헌구, 이권형, 김형준, 미인 (Miin), 세움 (SE:UM), 더율, 오대리",http://ticket.melon.com/performance/index.htm?prodId=200920
55,Melon Ticket,2017 이규호 Kyo＿mono－여름감기－서울 ,2017.09.21 - 2017.09.24,복합문화공간 에무,"이규호 (Kyo), 이규호 (Kyo), 이규호 (Kyo), 이규호 (Kyo), ",http://ticket.melon.com/performance/index.htm?prodId=200925
56,Melon Ticket,가을의 시작 주윤하－부산,2017.09.23 - 2017.09.23,셔우드아트홀,주윤하,http://ticket.melon.com/performance/index.htm?prodId=200888
57,Melon Ticket,모스크바 필하모닉 오케스트라（11．22）,2017.11.22 - 2017.11.22,롯데콘서트홀,"Moscow Philharmonic Orchestra, Yuri Simonov",http://ticket.melon.com/performance/index.htm?prodId=200875
58,Melon Ticket,로맨틱코미디 뮤지컬 〈그대와영원히〉,2017.07.08 - 2017.12.31,한성아트홀제 2관,"신미연, 미쓰리, Various Artists, 미쓰리, ",http://ticket.melon.com/performance/index.htm?prodId=200783
59,Melon Ticket,다부부페스티벌,2017.09.15 - 2017.09.15,전북대학교 구정문 레드박스,"김동혁(글배우), 에디전 (뷰티핸섬), 슬로디 (Slou.D), 뷰티핸섬, 뷰티핸섬, 뷰티핸섬, 뷰티핸섬, 슬로디 (Slou.D), ",http://ticket.melon.com/performance/index.htm?prodId=200921
60,Melon Ticket,페이퍼컷 프로젝트 피크닉콘서트 〈우리，정말 여행갈래요？〉 콘서트권,2017.09.17 - 2017.09.17,케이티엔지 상상마당 춘천,"페이퍼컷 프로젝트, 페이퍼컷 프로젝트, 페이퍼컷 프로젝트, 페이퍼컷 프로젝트, 페이퍼컷 프로젝트, 페이퍼컷 프로젝트, ",http://ticket.melon.com/performance/index.htm?prodId=200878
61,Melon Ticket,시네마 재즈 스케이프,2017.09.23 - 2017.09.24,고양 아람누리노루목야외극장,"이선지, 비안, 김가온, 이하윤, ",http://ticket.melon.com/performance/index.htm?prodId=200874
62,Melon Ticket,팬덤스쿨2017코리아뮤직페스티벌 9월30일 그라운드（스탠딩）,2017.09.30 - 2017.09.30,고척스카이돔,"Wanna One (워너원), 그레이시, 에스투 (S2), 비하트 (B.HEART), 마스크 (MASC), 마틸다 (MATILDA), MVP (엠브이피), 왈와리, 플래쉬 (FlaShe), GOOD DAY (굿데이), 1NB (원앤비), 더 브라더스, 최낙타, 쥬시 (JUCY), The Rose (더 로즈), 손승연, 더 이스트라이트, 엔플라잉 (N.Flying), 브로맨스 (VROMANCE), 헤일로 (HALO), 구구단 (gugudan), PRISTIN (프리스틴), 오마이걸, 빅플로, 아스트로 (ASTRO), 에이프릴 (APRIL), 모모랜드 (MOMOLAND), 크나큰, 레이디스 코드, CLC (씨엘씨), 펜타곤 (PENTAGON), 빅톤",http://ticket.melon.com/performance/index.htm?prodId=200913
63,Melon Ticket,러브레이크X상페－일반티켓,2017.10.14 - 2017.10.15,케이티엔지 상상마당 춘천,"잔나비, 잔나비, 잔나비, 잔나비, 잔나비, 잔나비, ",http://ticket.melon.com/performance/index.htm?prodId=200866
64,Melon Ticket,〈키노코호텔（KINOCO HOTEL）첫 내한공연－SALON DE KINOCO〉,2017.10.28 - 2017.10.28,웨스트브릿지라이브홀,"Kinoco Hotel, Kinoco Hotel, Kinoco Hotel, Kinoco Hotel, Kinoco Hotel, Kinoco Hotel, ",http://ticket.melon.com/performance/index.htm?prodId=200883
65,Melon Ticket,2017 유승우 콘서트 〈달달한 밤〉,2017.10.28 - 2017.10.29,올림픽공원올림픽홀 뮤즈라이브,"유승우, 유승우
윤하 (YOUNHA), 유승우, ",http://ticket.melon.com/performance/index.htm?prodId=200908
